Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	%/Grd		%		
-30,000	0,0720		0,00		
-29,000	0,0462		0,06		
-28,000	-0,1459		0,01		
-27,000	-0,0229		-0,08		
-26,000	0,1219		-0,03		
-25,000	0,0605		0,07		
-24,000	-0,0333		0,08		
-23,000	0,0650		0,09		
-22,000	0,0816		0,17		
-21,000	0,0039		0,21		
-20,000	0,0039		0,21		
-19,000	-0,0348		0,20		
-18,000	0,0349		0,20		
-17,000	0,0670		0,25		
-16,000	0,0448		0,31		
-15,000	0,0693		0,36		
-14,000	0,0895		0,44		
-13,000	0,0205		0,50		
-12,000	0,1239		0,57		
-11,000	0,1739		0,72		
-10,000	0,0588		0,84		
-9,000	0,1457		0,94		
-8,000	0,1705		1,10		
-7,000	0,1194		1,24		
-6,000	0,2145		1,41		
-5,000	0,1935		1,61		
-4,000	0,1727		1,79		
-3,000	0,2546		2,01		
-2,000	0,2415		2,26		
-1,000	0,2743		2,51		
0,000	0,3292		2,82		
1,000	0,2869		3,12		
2,000	0,3019		3,42		
3,000	0,4281		3,78		
4,000	0,4319		4,21		
5,000	0,4703		4,66		
6,000	0,5662		5,18		
7,000	0,6289		5,78		
8,000	0,6113		6,40		
9,000	0,5810		7,00		
10,000	0,6521		7,61		
11,000	0,6866		8,28		
12,000	0,6601		8,96		
13,000	0,6927		9,63		
14,000	0,7579		10,36		
15,000	0,8041		11,14		
16,000	0,8859		11,98		
17,000	0,9661		12,91		
18,000	1,0369		13,91		
19,000	1,0948		14,98		
20,000	1,1379		16,09		
21,000	1,1193		17,22		
22,000	1,2840		18,42		
23,000	1,3277		19,73		
24,000	1,2673		21,03		
25,000	1,3787		22,35		
26,000	1,4349		23,76		
27,000	1,4163		25,18		
28,000	1,4981		26,64		
29,000	1,5678		28,17		
30,000	1,6073		29,76		
31,000	1,7297		31,43		
32,000	1,7904		33,19		
33,000	1,7126		34,94		
34,000	1,9258		36,76		
35,000	2,2078		38,83		
36,000	1,8960		40,88		
37,000	1,8327		42,74		
38,000	2,0389		44,68		
39,000	1,9769		46,69		
40,000	2,0393		48,69		
41,000	2,1246		50,78		
42,000	1,9966		52,84		
43,000	2,0278		54,85		
44,000	2,1891		56,96		
45,000	2,1019		59,10		
46,000	2,0410		61,17		
47,000	2,0831		63,24		
48,000	2,0310		65,29		
49,000	1,9485		67,28		
50,000	2,0230		69,27		
51,000	1,7718		71,17		
52,000	1,5791		72,84		
53,000	1,8071		74,53		
54,000	1,6530		76,26		
55,000	1,3532		77,77		
56,000	1,5170		79,20		
57,000	1,6108		80,77		
58,000	1,4930		82,32		
59,000	1,4579		83,79		
60,000	1,3021		85,17		
61,000	1,1160		86,38		
62,000	1,0142		87,45		
63,000	0,9529		88,43		
64,000	0,9505		89,38		
65,000	1,0861		90,40		
66,000	0,9815		91,44		
67,000	0,6227		92,24		
68,000	0,6022		92,85		
69,000	0,8589		93,58		
70,000	0,6323		94,33		
71,000	0,5140		94,90		
72,000	0,7261		95,52		
73,000	0,4937		96,13		
74,000	0,2578		96,51		
75,000	0,5935		96,93		
76,000	0,5201		97,49		
77,000	0,1055		97,80		
78,000	0,0962		97,90		
79,000	-0,0426		97,93		
80,000	0,1407		97,98		
81,000	0,4464		98,27		
82,000	0,4888		98,74		
83,000	0,3966		99,18		
84,000	0,3774		99,57		
85,000	0,1215		99,82		
86,000	0,0952		99,93		
87,000	0,0016		99,97		
88,000	0,0498		100,00		
89,000	-0,0501		100,00		
90,000	-0,0695		99,94		
