Kurbelwinkel	P_ZYL1	Pcomp1	
Grad	bar	bar	
-360	1,062		
-359	1,048		
-358	1,020		
-357	0,977		
-356	0,970		
-355	0,941		
-354	0,920		
-353	0,941		
-352	0,913		
-351	0,920		
-350	0,898		
-349	0,884		
-348	0,863		
-347	0,849		
-346	0,884		
-345	0,884		
-344	0,891		
-343	0,834		
-342	0,834		
-341	0,827		
-340	0,827		
-339	0,849		
-338	0,820		
-337	0,841		
-336	0,827		
-335	0,834		
-334	0,799		
-333	0,827		
-332	0,806		
-331	0,806		
-330	0,827		
-329	0,799		
-328	0,806		
-327	0,792		
-326	0,827		
-325	0,849		
-324	0,820		
-323	0,806		
-322	0,849		
-321	0,841		
-320	0,849		
-319	0,820		
-318	0,820		
-317	0,834		
-316	0,827		
-315	0,813		
-314	0,813		
-313	0,813		
-312	0,834		
-311	0,820		
-310	0,820		
-309	0,820		
-308	0,770		
-307	0,820		
-306	0,749		
-305	0,756		
-304	0,792		
-303	0,742		
-302	0,763		
-301	0,777		
-300	0,784		
-299	0,784		
-298	0,792		
-297	0,806		
-296	0,806		
-295	0,777		
-294	0,770		
-293	0,770		
-292	0,770		
-291	0,770		
-290	0,777		
-289	0,799		
-288	0,777		
-287	0,792		
-286	0,770		
-285	0,784		
-284	0,777		
-283	0,756		
-282	0,742		
-281	0,742		
-280	0,742		
-279	0,742		
-278	0,906		
-277	0,777		
-276	0,784		
-275	0,763		
-274	0,806		
-273	0,770		
-272	0,806		
-271	0,756		
-270	0,770		
-269	0,770		
-268	0,770		
-267	0,770		
-266	0,770		
-265	0,777		
-264	0,763		
-263	0,777		
-262	0,735		
-261	0,720		
-260	0,713		
-259	0,706		
-258	0,706		
-257	0,699		
-256	0,699		
-255	0,713		
-254	0,742		
-253	0,713		
-252	0,727		
-251	0,706		
-250	0,720		
-249	0,749		
-248	0,699		
-247	0,720		
-246	0,706		
-245	0,742		
-244	0,713		
-243	0,720		
-242	0,742		
-241	0,706		
-240	0,735		
-239	0,735		
-238	0,735		
-237	0,742		
-236	0,699		
-235	0,720		
-234	0,699		
-233	0,720		
-232	0,735		
-231	0,720		
-230	0,735		
-229	0,749		
-228	0,749		
-227	0,763		
-226	0,756		
-225	0,763		
-224	0,742		
-223	0,749		
-222	0,742		
-221	0,742		
-220	0,763		
-219	0,756		
-218	0,763		
-217	0,770		
-216	0,763		
-215	0,777		
-214	0,742		
-213	0,656		
-212	0,713		
-211	0,699		
-210	0,735		
-209	0,713		
-208	0,727		
-207	0,735		
-206	0,720		
-205	0,727		
-204	0,713		
-203	0,735		
-202	0,749		
-201	0,720		
-200	0,735		
-199	0,727		
-198	0,756		
-197	0,735		
-196	0,735		
-195	0,749		
-194	0,720		
-193	0,749		
-192	0,742		
-191	0,720		
-190	0,756		
-189	0,713		
-188	0,713		
-187	0,699		
-186	0,713		
-185	0,756		
-184	0,735		
-183	0,727		
-182	0,742		
-181	0,742		
-180	0,763	0,763	
-179	0,792	0,792	
-178	0,756	0,756	
-177	0,770	0,770	
-176	0,777	0,777	
-175	0,727	0,727	
-174	0,784	0,784	
-173	0,792	0,792	
-172	0,770	0,770	
-171	0,770	0,770	
-170	0,799	0,799	
-169	0,784	0,784	
-168	0,763	0,763	
-167	0,806	0,806	
-166	0,777	0,777	
-165	0,692	0,692	
-164	0,720	0,720	
-163	0,720	0,720	
-162	0,706	0,706	
-161	0,706	0,706	
-160	0,706	0,706	
-159	0,735	0,735	
-158	0,742	0,742	
-157	0,763	0,763	
-156	0,763	0,763	
-155	0,784	0,784	
-154	0,792	0,792	
-153	0,784	0,784	
-152	0,784	0,784	
-151	0,784	0,784	
-150	0,784	0,784	
-149	0,770	0,770	
-148	0,792	0,792	
-147	0,792	0,792	
-146	0,792	0,792	
-145	0,777	0,777	
-144	0,813	0,813	
-143	0,799	0,799	
-142	0,792	0,792	
-141	0,792	0,792	
-140	0,770	0,770	
-139	0,770	0,770	
-138	0,756	0,756	
-137	0,792	0,792	
-136	0,777	0,777	
-135	0,806	0,806	
-134	0,813	0,813	
-133	0,870	0,870	
-132	0,849	0,849	
-131	0,849	0,849	
-130	0,884	0,884	
-129	0,906	0,906	
-128	0,906	0,906	
-127	0,849	0,849	
-126	0,898	0,898	
-125	0,891	0,891	
-124	0,920	0,920	
-123	0,891	0,891	
-122	0,906	0,906	
-121	0,877	0,877	
-120	0,891	0,891	
-119	0,913	0,913	
-118	1,048	1,048	
-117	0,849	0,849	
-116	0,906	0,906	
-115	0,884	0,884	
-114	0,913	0,913	
-113	0,948	0,948	
-112	0,948	0,948	
-111	0,984	0,984	
-110	0,977	0,977	
-109	0,998	0,998	
-108	0,991	0,991	
-107	1,020	1,020	
-106	1,020	1,020	
-105	1,041	1,041	
-104	1,041	1,041	
-103	1,077	1,077	
-102	1,091	1,091	
-101	1,119	1,119	
-100	1,091	1,091	
-99	1,112	1,112	
-98	1,127	1,127	
-97	1,219	1,219	
-96	1,184	1,184	
-95	1,212	1,212	
-94	1,219	1,219	
-93	1,205	1,205	
-92	1,198	1,198	
-91	1,205	1,205	
-90	1,241	1,241	
-89	1,298	1,298	
-88	1,319	1,319	
-87	1,319	1,319	
-86	1,362	1,362	
-85	1,383	1,383	
