Volumen	P_ZYL1	P_ZYL2	
cm3	bar		
36,32	1,062		
36,34	1,048		
36,41	1,020		
36,53	0,977		
36,70	0,970		
36,92	0,941		
37,18	0,920		
37,49	0,941		
37,85	0,913		
38,25	0,920		
38,71	0,898		
39,20	0,884		
39,75	0,863		
40,34	0,849		
40,98	0,884		
41,66	0,884		
42,39	0,891		
43,17	0,834		
43,99	0,834		
44,85	0,827		
45,75	0,827		
46,70	0,849		
47,70	0,820		
48,73	0,841		
49,81	0,827		
50,92	0,834		
52,08	0,799		
53,28	0,827		
54,52	0,806		
55,80	0,806		
57,11	0,827		
58,46	0,799		
59,85	0,806		
61,28	0,792		
62,74	0,827		
64,24	0,849		
65,77	0,820		
67,33	0,806		
68,93	0,849		
70,56	0,841		
72,22	0,849		
73,91	0,820		
75,63	0,820		
77,38	0,834		
79,15	0,827		
80,95	0,813		
82,78	0,813		
84,64	0,813		
86,52	0,834		
88,42	0,820		
90,34	0,820		
92,29	0,820		
94,26	0,770		
96,24	0,820		
98,25	0,749		
100,28	0,756		
102,32	0,792		
104,37	0,742		
106,45	0,763		
108,54	0,777		
110,64	0,784		
112,75	0,784		
114,87	0,792		
117,01	0,806		
119,16	0,806		
121,31	0,777		
123,47	0,770		
125,64	0,770		
127,82	0,770		
130,00	0,770		
132,18	0,777		
134,37	0,799		
136,56	0,777		
138,75	0,792		
140,95	0,770		
143,14	0,784		
145,33	0,777		
147,52	0,756		
149,71	0,742		
151,90	0,742		
154,08	0,742		
156,25	0,742		
158,42	0,906		
160,58	0,777		
162,74	0,784		
164,89	0,763		
167,03	0,806		
169,16	0,770		
171,28	0,806		
173,39	0,756		
175,48	0,770		
177,57	0,770		
179,64	0,770		
181,70	0,770		
183,75	0,770		
185,78	0,777		
187,80	0,763		
189,80	0,777		
191,78	0,735		
193,75	0,720		
195,70	0,713		
197,63	0,706		
199,55	0,706		
201,44	0,699		
203,32	0,699		
205,18	0,713		
207,01	0,742		
208,83	0,713		
210,63	0,727		
212,41	0,706		
214,16	0,720		
215,89	0,749		
217,61	0,699		
219,30	0,720		
220,96	0,706		
222,61	0,742		
224,23	0,713		
225,83	0,720		
227,40	0,742		
228,95	0,706		
230,48	0,735		
231,99	0,735		
233,46	0,735		
234,92	0,742		
236,35	0,699		
237,76	0,720		
239,14	0,699		
240,49	0,720		
241,83	0,735		
243,13	0,720		
244,41	0,735		
245,67	0,749		
246,90	0,749		
248,11	0,763		
249,29	0,756		
250,44	0,763		
251,57	0,742		
252,67	0,749		
253,75	0,742		
254,80	0,742		
255,83	0,763		
256,83	0,756		
257,81	0,763		
258,76	0,770		
259,68	0,763		
260,58	0,777		
261,45	0,742		
262,30	0,656		
263,12	0,713		
263,92	0,699		
264,69	0,735		
265,43	0,713		
266,15	0,727		
266,85	0,735		
267,52	0,720		
268,16	0,727		
268,78	0,713		
269,37	0,735		
269,93	0,749		
270,47	0,720		
270,99	0,735		
271,48	0,727		
271,94	0,756		
272,38	0,735		
272,80	0,735		
273,19	0,749		
273,55	0,720		
273,89	0,749		
274,20	0,742		
274,49	0,720		
274,76	0,756		
274,99	0,713		
275,21	0,713		
275,39	0,699		
275,56	0,713		
275,69	0,756		
275,81	0,735		
275,90	0,727		
275,96	0,742		
276,00	0,742		
276,01	0,763		
276,00	0,792		
275,96	0,756		
275,90	0,770		
275,81	0,777		
275,69	0,727		
275,56	0,784		
275,39	0,792		
275,21	0,770		
274,99	0,770		
274,76	0,799		
274,49	0,784		
274,20	0,763		
273,89	0,806		
273,55	0,777		
273,19	0,692		
272,80	0,720		
272,38	0,720		
271,94	0,706		
271,48	0,706		
270,99	0,706		
270,47	0,735		
269,93	0,742		
269,37	0,763		
268,78	0,763		
268,16	0,784		
