Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	%/Grd		%		
-360,00	0,0000		0,00		
-359,00	0,0048		0,00		
-358,00	-0,0150		-0,00		
-357,00	-0,0270		-0,02		
-356,00	-0,0148		-0,04		
-355,00	0,0055		-0,05		
-354,00	0,0008		-0,05		
-353,00	0,0133		-0,04		
-352,00	0,0412		-0,01		
-351,00	-0,0135		0,00		
-350,00	-0,0353		-0,02		
-349,00	-0,0166		-0,05		
-348,00	0,0465		-0,03		
-347,00	0,0753		0,03		
-346,00	0,0452		0,09		
-345,00	0,0107		0,12		
-344,00	-0,0336		0,10		
-343,00	0,0429		0,11		
-342,00	0,0824		0,17		
-341,00	0,0678		0,25		
-340,00	0,0401		0,30		
-339,00	0,0538		0,35		
-338,00	0,0860		0,42		
-337,00	0,0577		0,49		
-336,00	0,0482		0,54		
-335,00	0,0847		0,61		
-334,00	0,0865		0,69		
-333,00	0,0902		0,78		
-332,00	0,1157		0,89		
-331,00	0,0837		0,99		
-330,00	0,0995		1,08		
-329,00	0,0621		1,16		
-328,00	0,0642		1,22		
-327,00	0,1449		1,33		
-326,00	0,1924		1,49		
-325,00	0,1264		1,65		
-324,00	0,0292		1,73		
-323,00	0,0876		1,79		
-322,00	0,2418		1,95		
-321,00	0,2004		2,18		
-320,00	0,0652		2,31		
-319,00	0,0639		2,37		
-318,00	0,1309		2,47		
-317,00	0,1310		2,60		
-316,00	0,1349		2,73		
-315,00	0,1350		2,87		
-314,00	0,1020		2,99		
-313,00	0,1582		3,12		
-312,00	0,1407		3,27		
-311,00	0,1241		3,40		
-310,00	0,1037		3,51		
-309,00	0,0626		3,60		
-308,00	0,1666		3,71		
-307,00	-0,1843		3,70		
-306,00	-0,0067		3,61		
-305,00	0,4456		3,83		
-304,00	0,2363		4,17		
-303,00	0,1726		4,37		
-302,00	0,1751		4,55		
-301,00	0,2016		4,73		
-300,00	0,1551		4,91		
-299,00	0,1313		5,06		
-298,00	0,1038		5,17		
-297,00	0,1303		5,29		
-296,00	0,1828		5,45		
-295,00	0,2689		5,67		
-294,00	0,1299		5,87		
-293,00	0,0778		5,98		
-292,00	0,1870		6,11		
-291,00	0,0420		6,22		
-290,00	0,0691		6,28		
-289,00	0,2800		6,45		
-288,00	0,2513		6,72		
-287,00	0,0987		6,89		
-286,00	-0,0339		6,93		
-285,00	0,1271		6,97		
-284,00	0,3202		7,20		
-283,00	0,1585		7,44		
-282,00	0,0907		7,56		
-281,00	0,0878		7,65		
-280,00	0,1926		7,79		
-279,00	0,0102		7,89		
-278,00	0,1944		7,99		
-277,00	0,2234		8,20		
-276,00	0,0066		8,32		
-275,00	0,1506		8,40		
-274,00	0,4236		8,68		
-273,00	0,2674		9,03		
-272,00	-0,1203		9,10		
-271,00	0,1123		9,10		
-270,00	0,2718		9,29		
-269,00	0,1910		9,52		
-268,00	-0,0584		9,59		
-267,00	0,0219		9,57		
-266,00	0,0567		9,61		
-265,00	0,0995		9,69		
-264,00	0,1824		9,83		
-263,00	0,1403		9,99		
-262,00	0,1375		10,13		
-261,00	-0,1351		10,13		
-260,00	0,2274		10,18		
-259,00	0,4971		10,54		
-258,00	-0,1930		10,69		
-257,00	-0,0540		10,57		
-256,00	0,3620		10,72		
-255,00	0,3211		11,06		
-254,00	-0,0181		11,21		
-253,00	0,0810		11,24		
-252,00	0,2705		11,42		
-251,00	-0,0244		11,54		
-250,00	-0,0799		11,49		
-249,00	-0,0327		11,44		
-248,00	0,0122		11,42		
-247,00	0,1648		11,51		
-246,00	0,3699		11,78		
-245,00	-0,0456		11,94		
-244,00	0,0062		11,92		
-243,00	0,3713		12,11		
-242,00	0,1609		12,38		
-241,00	0,0531		12,48		
-240,00	-0,0043		12,51		
-239,00	0,2682		12,64		
-238,00	0,1546		12,85		
-237,00	-0,0647		12,90		
-236,00	0,4335		13,08		
-235,00	0,0969		13,35		
-234,00	-0,1285		13,33		
-233,00	0,0935		13,31		
-232,00	0,0929		13,41		
-231,00	0,2629		13,59		
-230,00	0,0307		13,73		
-229,00	0,0891		13,79		
-228,00	-0,2089		13,73		
-227,00	-0,1515		13,55		
-226,00	0,4316		13,69		
-225,00	0,3178		14,07		
-224,00	0,2589		14,35		
-223,00	0,0783		14,52		
-222,00	0,0167		14,57		
-221,00	-0,1083		14,53		
-220,00	0,0726		14,51		
-219,00	0,2530		14,67		
-218,00	-0,0540		14,77		
-217,00	-0,0566		14,71		
-216,00	0,0646		14,72		
-215,00	0,0002		14,75		
-214,00	0,1231		14,81		
-213,00	0,3094		15,03		
-212,00	0,1842		15,28		
-211,00	-0,1332		15,30		
-210,00	-0,0723		15,20		
-209,00	0,3063		15,32		
-208,00	0,1146		15,53		
-207,00	0,0501		15,61		
-206,00	0,1113		15,69		
-205,00	-0,2761		15,61		
-204,00	-0,0850		15,43		
-203,00	0,0406		15,40		
-202,00	0,0398		15,44		
-201,00	0,2315		15,58		
-200,00	0,1008		15,75		
-199,00	0,0344		15,81		
-198,00	0,0328		15,85		
-197,00	-0,0999		15,81		
-196,00	-0,1022		15,71		
-195,00	0,0921		15,71		
-194,00	0,2220		15,86		
-193,00	-0,1081		15,92		
-192,00	-0,3084		15,71		
-191,00	0,2166		15,67		
-190,00	-0,1139		15,72		
-189,00	-0,1160		15,60		
-188,00	0,4743		15,78		
-187,00	0,0125		16,03		
-186,00	-0,3208		15,87		
-185,00	0,0088		15,72		
-184,00	0,2711		15,86		
-183,00	-0,0606		15,96		
-182,00	0,0701		15,97		
-181,00	0,3326		16,17		
-180,00	-0,1330		16,27		
-179,00	0,0649		16,23		
-178,00	0,1290		16,33		
-177,00	0,1938		16,49		
-176,00	0,5244		16,85		
-175,00	-0,2765		16,97		
-174,00	-0,4805		16,60		
-173,00	0,0534		16,38		
-172,00	0,1180		16,47		
-171,00	0,0494		16,55		
-170,00	0,1133		16,63		
-169,00	-0,0204		16,68		
-168,00	-0,1556		16,59		
-167,00	0,1073		16,57		
-166,00	0,1055		16,67		
-165,00	-0,0286		16,71		
-164,00	0,1009		16,75		
-163,00	-0,0331		16,78		
-162,00	-0,6276		16,45		
-161,00	0,0290		16,15		
-160,00	0,2888		16,31		
-159,00	-0,1714		16,37		
-158,00	-0,1068		16,23		
-157,00	0,0209		16,19		
-156,00	-0,1098		16,14		
-155,00	-0,0488		16,06		
-154,00	0,3368		16,21		
-153,00	-0,0522		16,35		
-152,00	-0,2479		16,20		
-151,00	-0,1837		15,98		
-150,00	-0,0572		15,86		
