Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	kJ/m3Grd		kJ/m3		
-360,00	0,000		0,0		
-359,00	0,084		0,0		
-358,00	-0,264		-0,0		
-357,00	-0,475		-0,4		
-356,00	-0,260		-0,8		
-355,00	0,097		-0,9		
-354,00	0,014		-0,8		
-353,00	0,234		-0,7		
-352,00	0,725		-0,2		
-351,00	-0,238		0,0		
-350,00	-0,620		-0,4		
-349,00	-0,291		-0,8		
-348,00	0,817		-0,6		
-347,00	1,323		0,5		
-346,00	0,794		1,5		
-345,00	0,188		2,0		
-344,00	-0,590		1,8		
-343,00	0,754		1,9		
-342,00	1,447		3,0		
-341,00	1,191		4,3		
-340,00	0,704		5,3		
-339,00	0,944		6,1		
-338,00	1,511		7,3		
-337,00	1,014		8,6		
-336,00	0,848		9,5		
-335,00	1,488		10,7		
-334,00	1,520		12,2		
-333,00	1,584		13,8		
-332,00	2,034		15,6		
-331,00	1,471		17,3		
-330,00	1,749		18,9		
-329,00	1,092		20,3		
-328,00	1,129		21,5		
-327,00	2,547		23,3		
-326,00	3,380		26,3		
-325,00	2,220		29,1		
-324,00	0,512		30,4		
-323,00	1,539		31,4		
-322,00	4,249		34,3		
-321,00	3,521		38,2		
-320,00	1,146		40,6		
-319,00	1,123		41,7		
-318,00	2,300		43,4		
-317,00	2,301		45,7		
-316,00	2,371		48,0		
-315,00	2,371		50,4		
-314,00	1,793		52,5		
-313,00	2,779		54,8		
-312,00	2,472		57,4		
-311,00	2,181		59,7		
-310,00	1,822		61,7		
-309,00	1,099		63,2		
-308,00	2,928		65,2		
-307,00	-3,238		65,1		
-306,00	-0,118		63,4		
-305,00	7,829		67,2		
-304,00	4,152		73,2		
-303,00	3,033		76,8		
-302,00	3,077		79,9		
-301,00	3,542		83,2		
-300,00	2,725		86,3		
-299,00	2,307		88,8		
-298,00	1,824		90,9		
-297,00	2,289		92,9		
-296,00	3,213		95,7		
-295,00	4,725		99,7		
-294,00	2,283		103,2		
-293,00	1,367		105,0		
-292,00	3,286		107,3		
-291,00	0,737		109,3		
-290,00	1,214		110,3		
-289,00	4,919		113,4		
-288,00	4,415		118,0		
-287,00	1,734		121,1		
-286,00	-0,596		121,7		
-285,00	2,233		122,5		
-284,00	5,626		126,4		
-283,00	2,785		130,6		
-282,00	1,594		132,8		
-281,00	1,543		134,4		
-280,00	3,384		136,9		
-279,00	0,179		138,6		
-278,00	3,415		140,4		
-277,00	3,926		144,1		
-276,00	0,117		146,1		
-275,00	2,647		147,5		
-274,00	7,442		152,6		
-273,00	4,697		158,6		
-272,00	-2,114		159,9		
-271,00	1,973		159,9		
-270,00	4,776		163,2		
-269,00	3,355		167,3		
-268,00	-1,026		168,5		
-267,00	0,385		168,1		
-266,00	0,996		168,8		
-265,00	1,749		170,2		
-264,00	3,204		172,7		
-263,00	2,465		175,5		
-262,00	2,416		177,9		
-261,00	-2,373		178,0		
-260,00	3,996		178,8		
-259,00	8,734		185,1		
-258,00	-3,391		187,8		
-257,00	-0,948		185,6		
-256,00	6,361		188,4		
-255,00	5,641		194,4		
-254,00	-0,318		197,0		
-253,00	1,423		197,6		
-252,00	4,752		200,7		
-251,00	-0,429		202,8		
-250,00	-1,403		201,9		
-249,00	-0,574		200,9		
-248,00	0,214		200,7		
-247,00	2,896		202,3		
-246,00	6,498		207,0		
-245,00	-0,801		209,8		
-244,00	0,109		209,5		
-243,00	6,524		212,8		
-242,00	2,827		217,5		
-241,00	0,933		219,4		
-240,00	-0,076		219,8		
-239,00	4,712		222,1		
-238,00	2,716		225,8		
-237,00	-1,136		226,6		
-236,00	7,617		229,9		
-235,00	1,703		234,5		
-234,00	-2,257		234,2		
-233,00	1,643		233,9		
-232,00	1,633		235,6		
-231,00	4,620		238,7		
-230,00	0,539		241,3		
-229,00	1,566		242,3		
-228,00	-3,669		241,3		
-227,00	-2,662		238,1		
-226,00	7,583		240,6		
-225,00	5,583		247,1		
-224,00	4,549		252,2		
-223,00	1,376		255,2		
-222,00	0,294		256,0		
-221,00	-1,903		255,2		
-220,00	1,276		254,9		
-219,00	4,445		257,8		
-218,00	-0,949		259,5		
-217,00	-0,995		258,5		
-216,00	1,135		258,6		
-215,00	0,003		259,2		
-214,00	2,163		260,3		
-213,00	5,435		264,1		
-212,00	3,236		268,4		
-211,00	-2,341		268,8		
-210,00	-1,271		267,0		
-209,00	5,381		269,1		
-208,00	2,014		272,8		
-207,00	0,880		274,2		
-206,00	1,956		275,6		
-205,00	-4,850		274,2		
-204,00	-1,494		271,0		
-203,00	0,713		270,6		
-202,00	0,699		271,3		
-201,00	4,068		273,7		
-200,00	1,770		276,6		
-199,00	0,605		277,8		
-198,00	0,577		278,4		
-197,00	-1,754		277,8		
-196,00	-1,795		276,1		
-195,00	1,618		276,0		
-194,00	3,901		278,7		
-193,00	-1,899		279,7		
-192,00	-5,419		276,1		
-191,00	3,806		275,3		
-190,00	-2,001		276,2		
-189,00	-2,038		274,1		
-188,00	8,334		277,3		
-187,00	0,219		281,6		
-186,00	-5,637		278,9		
-185,00	0,155		276,1		
-184,00	4,763		278,6		
