Kurbelwinkel	Temp1	
Grad	K	
-360,00	67,08	
-359,00	65,88	
-358,00	66,01	
-357,00	61,58	
-356,00	62,70	
-355,00	62,22	
-354,00	60,95	
-353,00	61,88	
-352,00	61,61	
-351,00	61,81	
-350,00	61,20	
-349,00	60,18	
-348,00	61,49	
-347,00	61,00	
-346,00	61,97	
-345,00	62,53	
-344,00	63,12	
-343,00	65,27	
-342,00	64,98	
-341,00	65,74	
-340,00	67,07	
-339,00	68,46	
-338,00	69,92	
-337,00	70,32	
-336,00	71,86	
-335,00	72,88	
-334,00	73,35	
-333,00	77,50	
-332,00	77,40	
-331,00	78,56	
-330,00	81,07	
-329,00	82,33	
-328,00	85,67	
-327,00	86,99	
-326,00	89,80	
-325,00	91,95	
-324,00	92,61	
-323,00	96,37	
-322,00	100,25	
-321,00	101,81	
-320,00	103,37	
-319,00	105,79	
-318,00	109,12	
-317,00	111,65	
-316,00	115,12	
-315,00	115,87	
-314,00	121,36	
-313,00	122,12	
-312,00	119,83	
-311,00	127,57	
-310,00	124,09	
-309,00	128,90	
-308,00	131,66	
-307,00	132,19	
-306,00	137,21	
-305,00	140,05	
-304,00	144,08	
-303,00	150,60	
-302,00	146,22	
-301,00	144,05	
-300,00	148,13	
-299,00	152,27	
-298,00	156,46	
-297,00	159,37	
-296,00	163,66	
-295,00	166,63	
-294,00	168,16	
-293,00	169,68	
-292,00	181,46	
-291,00	186,06	
-290,00	184,62	
-289,00	184,56	
-288,00	192,31	
-287,00	195,40	
-286,00	190,34	
-285,00	193,31	
-284,00	199,63	
-283,00	197,51	
-282,00	202,18	
-281,00	203,37	
-280,00	209,85	
-279,00	214,62	
-278,00	217,60	
-277,00	222,43	
-276,00	221,66	
-275,00	228,38	
-274,00	225,57	
-273,00	226,48	
-272,00	231,30	
-271,00	232,14	
-270,00	234,96	
-269,00	241,85	
-268,00	234,30	
-267,00	241,19	
-266,00	243,91	
-265,00	246,59	
-264,00	251,44	
-263,00	245,35	
-262,00	245,70	
-261,00	252,69	
-260,00	259,75	
-259,00	257,77	
-258,00	262,55	
-257,00	262,73	
-256,00	262,82	
-255,00	255,74	
-254,00	265,21	
-253,00	267,54	
-252,00	279,58	
-251,00	262,31	
-250,00	269,41	
-249,00	274,10	
-248,00	273,75	
-247,00	280,94	
-246,00	280,52	
-245,00	285,19	
-244,00	287,27	
-243,00	286,71	
-242,00	291,34	
-241,00	290,68	
-240,00	292,61	
-239,00	289,16	
-238,00	293,70	
-237,00	295,53	
-236,00	300,06	
-235,00	307,34	
-234,00	303,61	
-233,00	308,10	
-232,00	304,23	
-231,00	331,16	
-230,00	313,12	
-229,00	326,09	
-228,00	327,72	
-227,00	320,73	
-226,00	325,12	
-225,00	320,84	
-224,00	336,84	
-223,00	344,15	
-222,00	342,69	
-221,00	329,39	
-220,00	333,67	
-219,00	340,91	
-218,00	348,17	
-217,00	331,51	
-216,00	314,68	
-215,00	327,83	
-214,00	347,04	
-213,00	348,17	
-212,00	337,09	
-211,00	347,27	
-210,00	351,34	
-209,00	340,05	
-208,00	337,90	
-207,00	341,87	
-206,00	348,90	
-205,00	343,54	
-204,00	338,13	
-203,00	335,76	
-202,00	339,59	
-201,00	359,03	
-200,00	359,70	
-199,00	354,07	
-198,00	364,11	
-197,00	361,55	
-196,00	358,96	
-195,00	353,15	
-194,00	356,78	
-193,00	354,05	
-192,00	354,47	
-191,00	351,66	
-190,00	345,64	
-189,00	368,20	
-188,00	365,30	
-187,00	365,55	
-186,00	349,84	
-185,00	353,21	
-184,00	369,28	
-183,00	375,78	
-182,00	366,31	
-181,00	363,16	
-180,00	372,75	
-179,00	375,92	
-178,00	372,69	
-177,00	382,15	
-176,00	372,47	
-175,00	372,33	
-174,00	378,50	
-173,00	371,92	
-172,00	374,84	
-171,00	374,56	
-170,00	371,05	
-169,00	364,35	
-168,00	363,98	
-167,00	373,05	
-166,00	375,75	
-165,00	356,30	
-164,00	355,81	
-163,00	352,11	
-162,00	357,82	
-161,00	350,93	
-160,00	356,57	
-159,00	337,14	
-158,00	352,07	
-157,00	348,21	
-156,00	325,71	
-155,00	337,34	
-154,00	351,99	
-153,00	354,21	
-152,00	353,28	
-151,00	346,19	
-150,00	360,51	
-149,00	356,43	
-148,00	361,42	
-147,00	348,17	
-146,00	347,04	
-145,00	348,91	
-144,00	356,70	
-143,00	361,41	
-142,00	357,11	
-141,00	358,72	
-140,00	348,46	
-139,00	352,95	
-138,00	351,49	
-137,00	361,67	
-136,00	357,20	
-135,00	355,58	
-134,00	359,70	
-133,00	352,27	
-132,00	359,11	
-131,00	371,52	
-130,00	361,14	
-129,00	356,45	
-128,00	368,52	
-127,00	358,13	
-126,00	361,65	
-125,00	367,79	
-124,00	354,69	
-123,00	366,12	
-122,00	369,26	
-121,00	358,88	
-120,00	353,88	
-119,00	370,07	
-118,00	359,68	
-117,00	357,18	
-116,00	372,80	
-115,00	357,23	
-114,00	359,69	
-113,00	367,11	
-112,00	341,66	
-111,00	371,41	
-110,00	358,51	
-109,00	362,96	
-108,00	369,65	
-107,00	361,67	
-106,00	372,88	
-105,00	374,30	
-104,00	373,26	
-103,00	372,15	
-102,00	368,64	
-101,00	383,40	
-100,00	377,36	
-99,00	380,33	
-98,00	380,91	
-97,00	365,99	
-96,00	377,32	
-95,00	384,00	
-94,00	379,83	
-93,00	377,69	
-92,00	377,56	
-91,00	383,45	
-90,00	401,27	
-89,00	384,43	
-88,00	391,64	
-87,00	392,65	
-86,00	391,59	
-85,00	399,89	
-84,00	402,23	
-83,00	406,16	
-82,00	400,68	
-81,00	404,24	
-80,00	412,84	
-79,00	407,00	
-78,00	409,81	
-77,00	412,33	
-76,00	424,71	
-75,00	418,30	
-74,00	415,14	
-73,00	415,09	
-72,00	418,00	
-71,00	415,94	
-70,00	418,36	
-69,00	421,93	
-68,00	426,67	
-67,00	425,25	
-66,00	429,29	
-65,00	433,03	
-64,00	433,56	
-63,00	436,61	
-62,00	437,93	
-61,00	448,09	
-60,00	453,72	
-59,00	448,84	
-58,00	453,78	
-57,00	456,99	
-56,00	458,60	
-55,00	462,23	
-54,00	464,21	
-53,00	470,31	
-52,00	472,64	
-51,00	474,47	
-50,00	479,09	
-49,00	483,15	
-48,00	489,75	
-47,00	494,80	
-46,00	491,59	
-45,00	498,51	
-44,00	502,98	
-43,00	505,14	
-42,00	511,16	
-41,00	513,26	
-40,00	519,84	
-39,00	523,43	
-38,00	528,80	
-37,00	536,02	
-36,00	538,00	
-35,00	544,11	
-34,00	547,30	
-33,00	551,53	
-32,00	558,81	
-31,00	565,43	
-30,00	568,77	
-29,00	573,71	
-28,00	580,15	
-27,00	580,62	
-26,00	589,82	
-25,00	593,04	
-24,00	595,63	
-23,00	600,88	
-22,00	607,91	
-21,00	613,58	
-20,00	620,12	
-19,00	624,93	
-18,00	630,18	
-17,00	635,90	
-16,00	639,17	
-15,00	646,66	
-14,00	650,20	
-13,00	654,90	
-12,00	659,18	
-11,00	664,46	
-10,00	668,55	
-9,00	672,20	
-8,00	676,19	
-7,00	679,62	
-6,00	685,22	
-5,00	686,77	
-4,00	689,05	
-3,00	690,25	
-2,00	693,51	
-1,00	693,79	
0,00	694,49	
1,00	693,37	
2,00	695,61	
3,00	696,16	
4,00	697,10	
5,00	696,58	
6,00	694,25	
7,00	692,62	
8,00	690,63	
9,00	689,88	
10,00	687,33	
11,00	682,12	
12,00	677,10	
13,00	673,55	
14,00	670,09	
15,00	666,40	
16,00	661,70	
17,00	655,85	
18,00	652,55	
19,00	644,62	
20,00	639,16	
21,00	630,85	
22,00	625,55	
23,00	618,90	
24,00	615,20	
25,00	610,10	
26,00	602,46	
27,00	597,24	
28,00	588,34	
29,00	584,02	
30,00	576,69	
31,00	574,89	
32,00	567,12	
33,00	561,44	
34,00	554,55	
35,00	549,31	
36,00	546,36	
37,00	537,57	
38,00	534,37	
39,00	530,77	
40,00	524,01	
41,00	516,68	
42,00	512,91	
43,00	511,40	
44,00	502,98	
45,00	494,77	
46,00	489,68	
47,00	487,96	
48,00	480,76	
49,00	477,02	
50,00	471,78	
51,00	473,41	
52,00	467,20	
53,00	460,30	
54,00	461,94	
55,00	457,60	
56,00	457,42	
57,00	449,75	
58,00	446,40	
59,00	448,84	
60,00	442,21	
61,00	436,36	
62,00	432,62	
63,00	432,55	
64,00	426,67	
65,00	390,96	
66,00	417,87	
67,00	412,18	
68,00	401,56	
69,00	400,90	
70,00	401,55	
71,00	398,86	
72,00	394,32	
73,00	394,25	
74,00	390,71	
75,00	390,17	
76,00	391,12	
77,00	391,87	
78,00	383,86	
79,00	385,93	
80,00	380,79	
81,00	384,37	
82,00	375,05	
83,00	378,32	
84,00	375,90	
85,00	371,30	
86,00	370,36	
87,00	371,15	
88,00	367,89	
89,00	362,39	
90,00	358,68	
91,00	360,88	
92,00	356,79	
93,00	356,69	
94,00	352,22	
95,00	353,94	
96,00	355,62	
97,00	348,44	
98,00	365,40	
99,00	360,17	
100,00	361,53	
101,00	355,99	
102,00	345,58	
103,00	358,18	
104,00	356,81	
105,00	352,96	
106,00	346,56	
107,00	349,60	
108,00	347,74	
109,00	340,87	
110,00	346,14	
111,00	343,96	
112,00	339,14	
113,00	329,09	
114,00	329,04	
115,00	331,50	
116,00	328,74	
117,00	331,08	
118,00	338,65	
119,00	325,08	
120,00	327,24	
121,00	315,98	
122,00	328,78	
123,00	341,68	
124,00	338,30	
125,00	337,57	
126,00	331,25	
127,00	324,77	
128,00	337,77	
129,00	325,54	
130,00	335,72	
131,00	326,09	
132,00	333,43	
133,00	332,20	
134,00	322,24	
135,00	323,74	
136,00	322,30	
137,00	335,39	
138,00	322,16	
139,00	308,78	
140,00	324,80	
141,00	329,03	
142,00	333,27	
143,00	325,53	
144,00	332,69	
145,00	342,89	
146,00	331,93	
147,00	339,08	
148,00	346,22	
149,00	359,48	
150,00	345,22	
151,00	361,53	
152,00	368,66	
153,00	360,38	
154,00	361,27	
155,00	359,04	
156,00	369,20	
157,00	379,34	
158,00	364,55	
159,00	374,66	
160,00	375,36	
161,00	366,62	
162,00	367,25	
163,00	370,99	
164,00	374,72	
165,00	368,93	
166,00	369,43	
167,00	392,04	
168,00	392,50	
169,00	396,07	
170,00	374,22	
171,00	380,92	
172,00	387,56	
173,00	394,20	
174,00	400,80	
175,00	404,20	
176,00	417,10	
177,00	414,04	
178,00	414,15	
179,00	420,57	
180,00	417,41	
181,00	430,14	
182,00	423,72	
183,00	429,98	
184,00	420,28	
185,00	426,50	
186,00	439,01	
187,00	429,21	
188,00	435,27	
189,00	441,31	
190,00	463,13	
191,00	443,66	
192,00	449,55	
193,00	464,84	
194,00	454,79	
195,00	469,97	
196,00	463,01	
197,00	474,88	
198,00	474,11	
199,00	473,30	
200,00	469,32	
201,00	471,56	
202,00	470,62	
203,00	482,08	
204,00	490,35	
205,00	479,90	
206,00	475,66	
207,00	468,32	
208,00	460,94	
209,00	459,70	
210,00	461,46	
211,00	469,29	
212,00	464,82	
213,00	469,43	
214,00	461,87	
215,00	469,38	
216,00	467,75	
217,00	481,04	
218,00	470,33	
219,00	468,54	
220,00	475,60	
221,00	467,81	
222,00	480,54	
223,00	472,65	
224,00	482,22	
225,00	474,25	
226,00	469,18	
227,00	466,97	
228,00	473,25	
229,00	473,73	
230,00	457,18	
231,00	446,37	
232,00	441,19	
233,00	460,97	
234,00	436,28	
235,00	450,23	
236,00	447,57	
237,00	425,85	
238,00	439,41	
239,00	460,76	
240,00	444,45	
241,00	462,69	
242,00	441,15	
243,00	445,92	
244,00	450,54	
245,00	418,98	
246,00	438,85	
247,00	430,47	
248,00	432,20	
249,00	416,32	
250,00	412,97	
251,00	407,15	
252,00	413,47	
253,00	383,39	
254,00	396,81	
255,00	393,27	
256,00	392,06	
257,00	390,78	
258,00	380,17	
259,00	381,11	
260,00	370,58	
261,00	380,33	
262,00	369,83	
263,00	379,15	
264,00	366,47	
265,00	362,53	
266,00	354,34	
267,00	358,79	
268,00	352,64	
269,00	354,72	
270,00	342,46	
271,00	338,35	
272,00	330,28	
273,00	322,28	
274,00	322,09	
275,00	327,48	
276,00	319,47	
277,00	311,51	
278,00	312,80	
279,00	310,33	
280,00	307,78	
281,00	294,65	
282,00	304,26	
283,00	284,46	
284,00	288,66	
285,00	322,35	
286,00	279,94	
287,00	283,60	
288,00	275,96	
289,00	276,18	
290,00	273,23	
291,00	262,68	
292,00	264,18	
293,00	262,61	
294,00	258,06	
295,00	240,94	
296,00	242,15	
297,00	240,51	
298,00	242,76	
299,00	227,85	
300,00	208,22	
301,00	223,07	
302,00	217,57	
303,00	213,33	
304,00	203,20	
305,00	203,79	
306,00	199,66	
307,00	201,15	
308,00	194,84	
309,00	188,63	
310,00	187,78	
311,00	182,75	
312,00	180,81	
313,00	177,88	
314,00	170,15	
315,00	171,07	
316,00	163,60	
317,00	158,16	
318,00	153,69	
319,00	149,36	
320,00	150,10	
321,00	147,48	
322,00	139,28	
323,00	126,72	
324,00	135,17	
325,00	129,82	
326,00	126,77	
327,00	123,82	
328,00	122,33	
329,00	116,11	
330,00	114,07	
331,00	115,31	
332,00	120,87	
333,00	108,91	
334,00	108,26	
335,00	102,30	
336,00	101,21	
337,00	98,48	
338,00	94,73	
339,00	94,91	
340,00	91,39	
341,00	91,13	
342,00	87,85	
343,00	87,22	
344,00	84,67	
345,00	81,31	
346,00	80,92	
347,00	78,71	
348,00	76,65	
349,00	75,13	
350,00	73,73	
351,00	72,86	
352,00	71,67	
353,00	70,55	
354,00	69,97	
355,00	69,05	
356,00	68,21	
357,00	66,65	
358,00	66,43	
359,00	64,62	
360,00	64,57	
